Street,Direction,TotalVolume
SEDGWICK AVENUE,WB,5308.0
BRUCKNER BLVD SR APPROACH TO HUNTS POINT AVE,SB,5308.0
FDR DR NB EN BK BR,NB,5274.0
S/B 3 AVE BRIDGE @ 3 STREET - 6 STREET,SB,5269.0
SOUTHERN BOULEVARD,SB,5218.0
SOUTHERN BOULEVARD,NB,5218.0
SUTTON PLACE,NB,5194.0
N/B BELL BLVD @ 18 AVE,NB,5138.0
E/B PARK CIRCLE @ CONEY ISLAND AVENUE,EB,5121.0
ALBEE AVENUE,SB,5117.0
ALBEE AVENUE,NB,5117.0
LINDEN BLVRD BTWN MEXICO ST & FARMERS BLVRD,WB,5104.0
WEST 165 STREET,WB,5075.0
N/B MIDLAND AV @ OLMPIA BLVD,NB,5064.0
LIBERTY AVE EB APPROACH TO 93RD ST,EB,5050.0
11 STREET,NB,5036.0
RALPH AVE S/O CLARENDON RD,NB,5032.0
E 233RD ST BET AMUNDSON & DURYEA AVES,EB,5027.0
COOPER ST-COOPER AV,NB,4994.0
LITTLE NECK PKWY NB & SB NORTH OF JERICHO TPKE,SB,4988.0
GRAND AV,WB,4938.0
LIBERTY AV,WB,4919.0
LIBERTY AV,EB,4919.0
HILLSIDE AV,EB,4870.0
WALKER STREET,EB,4838.0
RALPH AVE S/O CLARENDON RD,SB,4813.0
WHITE PLAINS RD@E 243 ST (CITY LINE),NB,4789.0
CO OP CITY BLVD APPROACH TO BARTOW AVE,SB,4778.0
OLD FULTON ST,WB,4773.0
W/B METROPOLITAN AVE BRIDGE @,WB,4740.0
ALLERTON AVE WB APPROACH TO BX PARK EAST,WB,4734.0
LIBERTY STREET,EB,4677.0
WB BAY RIDGE PKWY APPROAC HING FT HAMILTON PKWY,WB,4669.0
METROPOLITAN AVENUE,EB,4659.0
W/B Pelham Pkwy@270' E/O Ent Ramp to 95N,WB,4545.0
WADSWORTH AVENUE,NB,4519.0
WADSWORTH AVENUE,SB,4519.0
48 AVENUE,WB,4507.0
47 ROAD,EB,4507.0
